Date,Open,High,Low,mean,Close,Volume
9/17/2014,465.864014,468.174011,452.421997,460.298004,457.334015,21056800
9/18/2014,456.859985,456.859985,413.104004,434.9819945,424.440002,34483200
9/19/2014,424.102997,427.834991,384.532013,406.183502,394.79599,37919700
9/20/2014,394.673004,423.29599,389.882996,406.589493,408.903992,36863600
9/21/2014,408.084991,412.425995,393.181,402.8034975,398.821014,26580100
9/22/2014,399.100006,406.915985,397.130005,402.022995,402.152008,24127600
9/23/2014,402.09201,441.557007,396.196991,418.876999,435.790985,45099500
9/24/2014,435.751007,436.112,421.131989,428.6219945,423.204987,30627700
9/25/2014,423.156006,423.519989,409.467987,416.493988,411.574005,26814400
9/26/2014,411.428986,414.937988,400.009003,407.4734955,404.424988,21460800
9/27/2014,403.556,406.622986,397.372009,401.9974975,399.519989,15029300
9/28/2014,399.471008,401.016998,374.332001,387.6744995,377.181,23613300
9/29/2014,376.928009,385.210999,372.23999,378.7254945,375.46701,32497700
9/30/2014,376.088013,390.97699,373.442993,382.2099915,386.944,34707300
10/1/2014,387.427002,391.378998,380.779999,386.0794985,383.61499,26229400
10/2/2014,383.988007,385.497009,372.946014,379.2215115,375.071991,21777700
10/3/2014,375.181,377.695007,357.859009,367.777008,359.511993,30901200
10/4/2014,359.891998,364.487,325.885986,345.186493,328.865997,47236500
10/5/2014,328.915985,341.800995,289.29599,315.5484925,320.51001,83308096
10/6/2014,320.389008,345.134003,302.559998,323.8470005,330.07901,79011800
10/7/2014,330.584015,339.247009,320.481995,329.864502,336.187012,49199900
10/8/2014,336.115997,354.364014,327.187988,340.776001,352.940002,54736300
10/9/2014,352.747986,382.726013,347.687012,365.2065125,365.026001,83641104
10/10/2014,364.687012,375.066986,352.963013,364.0149995,361.562012,43665700
10/11/2014,361.362,367.19101,355.950989,361.5709995,362.299011,13345200
10/12/2014,362.605988,379.433014,356.144012,367.788513,378.549011,17552800
10/13/2014,377.92099,397.226013,368.897003,383.061508,390.414001,35221400
10/14/2014,391.691986,411.697998,391.324005,401.5110015,400.869995,38491500
10/15/2014,400.954987,402.22699,388.765991,395.4964905,394.77301,25267100
10/16/2014,394.518005,398.807007,373.070007,385.938507,382.556,26990000
10/17/2014,382.756012,385.477997,375.389008,380.4335025,383.757996,13600700
10/18/2014,383.976013,395.15799,378.971008,387.064499,391.441986,11416800
10/19/2014,391.253998,393.938995,386.457001,390.197998,389.54599,5914570
10/20/2014,389.230988,390.084015,378.252014,384.1680145,382.845001,16419000
10/21/2014,382.42099,392.645996,380.834015,386.7400055,386.475006,14188900
10/22/2014,386.118011,388.575989,382.248993,385.412491,383.15799,11641300
10/23/2014,382.962006,385.048004,356.446991,370.7474975,358.416992,26456900
10/24/2014,358.591003,364.345001,353.304993,358.824997,358.345001,15585700
10/25/2014,358.610992,359.860992,342.877014,351.369003,347.270996,18127500
10/26/2014,347.487,359.221008,343.931,351.576004,354.70401,11272500
10/27/2014,354.777008,358.631989,349.80899,354.2204895,352.989014,13033000
10/28/2014,353.214996,359.984009,352.678986,356.3314975,357.618011,7845880
10/29/2014,357.088989,357.833008,335.342987,346.5879975,335.591003,18192700
10/30/2014,335.709015,350.912994,335.071991,342.9924925,345.304993,30177900
10/31/2014,345.009003,348.045013,337.141998,342.5935055,338.321014,12545400
11/1/2014,338.649994,340.528992,321.054993,330.7919925,325.748993,16677200
11/2/2014,326.075012,329.049988,320.626007,324.8379975,325.891998,8603620
11/3/2014,325.569,334.002014,325.480988,329.741501,327.553986,12948500
